"","state","Rrating","RratingSD","NR.State.Mean","NR.State.SD","Prime.Rrating","Prime.RratingSD","NoPrime.Rrating","NoPrime.RratingSD","State100PercentMean.ALL","State100PercentSD.ALL","State100PercentMean","State100PercentSD","noFail100Mean","noFail100SD","Narc.Index","RCount","NRCount","State100PercentCount"
"Hawaii","Hawaii",18.8823529411765,19.8732453905481,9.18045112781955,15.3660101757956,18.84375,20.0710180640901,18.9473684210526,20.0817044545818,8.17647058823529,7.0219822909288,7.06382978723404,5.42700275722424,8.17647058823529,7.0219822909288,9.70190181335692,51,532,47
"Idaho","Idaho",17.6964285714286,23.8860321624905,6.73458904109589,10.7813018130702,14.3636363636364,20.0607303065691,19.8529411764706,26.1268842764773,5.71428571428571,7.75936802889206,5.07407407407407,6.3151565266962,5.07407407407407,6.3151565266962,10.9618395303327,56,584,54
"Illinois","Illinois",17.8524590163934,18.3918787019106,10.906937394247,13.6407839103658,16,19.4164878389476,19.53125,17.5517380354344,10.327868852459,12.1788358932965,8.09090909090909,4.77366513151884,10.327868852459,12.1788358932965,6.9455216221464,61,591,55
"Indiana","Indiana",13.5964912280702,13.5420768204707,8.87775891341256,14.1838750211375,13.68,13.4124320439409,13.53125,13.8563700851083,6.24561403508772,6.1011729017413,5.35849056603774,4.56194265140598,5.2962962962963,4.54175441801634,4.71873231465761,57,589,53
"Iowa","Iowa",8.55357142857143,10.6769414123183,7.52787456445993,12.3796160503838,7.77777777777778,10.8887144587459,9.27586206896552,10.6163504346703,5.17857142857143,7.03783836352959,4.72727272727273,6.23150462020609,4.72727272727273,6.23150462020609,1.0256968641115,56,574,55
"Kansas","Kansas",19.2586206896552,21.1050508171374,7.64760147601476,12.0732278854791,21.5,23.8910570861913,17.6764705882353,19.1132519286224,9.3448275862069,14.9203166846335,8.11111111111111,14.2652323971926,9.3448275862069,14.9203166846335,11.6110192136404,58,542,54
"Kentucky","Kentucky",12.71875,10.3762071395657,11.4090121317158,15.9823835927919,12.8571428571429,10.8550418135127,12.551724137931,9.95556630697676,8.078125,5.8886619265937,7.48333333333333,5.53415180115183,7.88888888888889,5.73644576683527,1.30973786828423,64,577,60
"Louisiana","Louisiana",26.4035087719298,23.6762838308739,15.3647912885662,17.5557127169994,20.7037037037037,16.2168355416757,31.5333333333333,28.0931128304741,15.4385964912281,12.2460161799951,10.6470588235294,6.30959996302497,15.462962962963,12.549844715213,11.0387174833636,57,551,34
"Maine","Maine",13.3709677419355,15.7420121518536,10.6380471380471,15.9141446589855,12.2692307692308,16.3059687042695,14.1666666666667,15.505759298679,5.51612903225806,10.3508009280408,4.29508196721311,3.86585161939377,4.29508196721311,3.86585161939377,2.73292060388835,62,594,61
"Maryland","Maryland",19.7407407407407,20.4765721493643,15.8172920065253,18.6318625425671,22.2903225806452,23.1893561048844,16.304347826087,15.9784934510243,12.0925925925926,10.2649219841322,8.5609756097561,6.48478519493053,11.8846153846154,10.3954247970882,3.92344873421546,54,613,41
"Massachusetts","Massachusetts",35.2105263157895,25.0026690304579,23.3583916083916,21.824789072842,35.2592592592593,27.9003619946086,35.1666666666667,22.5665045241123,27.9824561403509,18.7497535489233,19.5,12.5499003980111,28.7551020408163,19.6357779451236,11.8521347073979,57,572,6
"Michigan","Michigan",15.7777777777778,16.9443533695184,8.83533447684391,12.7909568644495,11.8787878787879,11.6746455400088,20.0666666666667,20.6663700386573,10.1428571428571,13.4426585586492,9.89830508474576,13.8211418701558,10.1451612903226,13.5523838253869,6.94244330093387,63,583,59
