"","state","NonResident.Rating","Resident.Rating","NonResident.N","Resident.N","NonResident.Var","Resident.Var","Narc.Index","pooledS","MOEdiff","ll","ul"
"32","New York",23.0094161958569,30.9384615384615,531,65,465.281043243435,557.714903846154,7.92904534260466,21.8000056669584,5.62612918934009,2.30291615326458,13.5551745319448
"33","North Carolina",14.7047970479705,20.8166666666667,542,60,324.448738498476,497.60988700565,6.11186961869619,18.4790760438669,4.93774054357042,1.17412907512576,11.0496101622666
"34","North Dakota",6.7406779661017,15.921568627451,590,51,151.679666772179,365.433725490196,9.18089066134928,12.9771081704833,3.71935224236225,5.46153841898704,12.9002429037115
"35","Ohio",11.4578313253012,18.1384615384615,581,65,247.952098047362,285.683653846154,6.68063021316033,15.8651132324449,4.07455098785717,2.60607922530316,10.7551812010175
"36","Oklahoma",8.10851419031719,13.6229508196721,599,61,144.133689929146,281.838797814208,5.51443662935494,12.5176030731439,3.30341003397573,2.21102659537921,8.81784666333066
"37","Oregon",9.17198581560284,12.8214285714286,564,56,174.878005996246,183.094805194805,3.64944275582573,13.2517649591794,3.64615791088698,0.00328484493875125,7.29560066671272
"38","Pennsylvania",23.0288288288288,30.7096774193548,555,62,548.645376784727,704.176626123744,7.68084859052601,23.7502011264838,6.24555682837118,1.43529176215484,13.9264054188972
"39","Rhode Island",10.2334943639291,20.4339622641509,621,53,228.734102124565,569.711901306241,10.2004679002218,15.9724540683642,4.48795875772684,5.71250914249495,14.6884266579486
"40","South Carolina",14.4623287671233,23.4,584,65,292.423964378862,462.18125,8.93767123287671,17.5845395085069,4.51493519451706,4.42273603835965,13.4526064273938
"41","South Dakota",7.05035971223022,14.1636363636364,556,55,151.802864735239,299.769023569024,7.11327665140615,12.84223566012,3.56495919825902,3.54831745314713,10.6782358496652
"42","Tennessee",11.257525083612,16.271186440678,598,59,234.204926527845,367.201052016365,5.01366135706593,15.6838031955892,4.20251047674558,0.811150880320343,9.21617183381151
"43","Texas",17.8299817184643,20.6825396825397,547,63,361.764081135196,285.284690220174,2.85255796407533,18.8139627903697,4.91580612821826,-2.06324816414293,7.7683640922936
"44","Utah",8.56143667296786,11.9833333333333,529,60,209.284570659334,260.864124293785,3.42189666036547,14.6447562954488,3.91814777729751,-0.496251116932036,7.34004443766297
"45","Vermont",11.0131795716639,17.16,607,50,254.019627992453,371.157551020408,6.14682042833608,16.2105711698905,4.68331088793107,1.46350954040501,10.8301313162671
"46","Virginia",23.5,41.0735294117647,568,68,490.356261022928,604.039288849868,17.5735294117647,22.4136137776936,5.64793619546186,11.9255932163028,23.2214656072266
"47","Washington",12.5232358003442,11.05,581,60,373.163683304647,269.200847457627,-1.47323580034423,19.0673703174887,5.077238789929,-6.55047459027323,3.60400298958477
"48","West Virginia",12.4731977818854,18.9622641509434,541,53,306.975669199699,505.113933236575,6.489066369058,18.0105442978729,5.09120273689519,1.39786363216281,11.5802691059532
"49","Wisconsin",7.91680814940577,11.4677419354839,589,62,168.630822447825,169.203860391327,3.5509337860781,12.9878667500395,3.40512918447859,0.145804601599511,6.95606297055668
"50","Wyoming",6.67917448405253,18.18,533,50,137.7784564601,492.354693877551,11.5008255159475,12.949226868167,3.76169217281634,7.73913334313113,15.2625176887638
